verdict (correct|wrong-date|wrong-sense|not-a-concept|ambiguous),note,concept,coinage,crystallization,author_groups,decline,fate,peak_year,total_papers,example_papers
,,synthesis problem,2016-12-13,2021,11,,persisted,2023,47,"arxiv.org/abs/2104.15069, arxiv.org/abs/2106.12499"
,,scenario lack,2021-01-11,2024,9,,persisted,2025,11,"arxiv.org/abs/2403.02502, arxiv.org/abs/2403.03167"
,,lookup table,2007-07-05,2018,16,,persisted,2025,144,"arxiv.org/abs/1804.02836, arxiv.org/abs/1812.07045"
,,feature adapter,2021-10-09,2023,15,,persisted,2024,23,"arxiv.org/abs/2306.06354, arxiv.org/abs/2309.06824"
,,hessian matrix,2011-10-18,2023,17,,persisted,2024,50,"arxiv.org/abs/2307.13304, arxiv.org/abs/2308.11778"
,,feature compensation,2018-01-04,2024,11,,persisted,2025,14,"arxiv.org/abs/2402.04273, arxiv.org/abs/2410.08100"
,,deformable attention,2020-07-13,2021,23,,persisted,2025,121,"arxiv.org/abs/2112.15509, arxiv.org/abs/2111.11430"
,,spectral fidelity,2022-04-09,2024,22,,persisted,2025,27,"arxiv.org/abs/2412.04896, arxiv.org/abs/2405.18900"
,,vessel segmentation,2005-09-30,2016,18,,persisted,2025,374,"arxiv.org/abs/1611.02064, arxiv.org/abs/1611.08131"
,,pes,2020-04-21,2024,16,,persisted,2025,26,"arxiv.org/abs/2410.06205, arxiv.org/abs/2405.01589"
,,waste,2001-06-19,2017,21,,persisted,2025,416,"arxiv.org/abs/1712.01652, arxiv.org/abs/1702.08259"
,,architecture search algorithm,2018-06-24,2019,14,2022,crystallized_then_declined,2020,32,"arxiv.org/abs/1911.08609, arxiv.org/abs/1909.09432"
,,fine-grain information,2015-06-22,2018,13,,persisted,2025,208,"arxiv.org/abs/1804.03864, arxiv.org/abs/1802.04403"
,,clinical decision,2013-08-05,2017,22,,persisted,2025,416,"arxiv.org/abs/1702.08379, arxiv.org/abs/1703.04197"
,,dynamic resolution,2020-11-24,2024,20,,persisted,2025,28,"arxiv.org/abs/2409.12191, arxiv.org/abs/2409.01704"
,,affine parameter,2012-07-01,2022,10,2024,crystallized_then_declined,2022,27,"arxiv.org/abs/2207.08124, arxiv.org/abs/2210.13769"
,,benchmark task,2012-07-03,2016,16,,persisted,2024,312,"arxiv.org/abs/1611.00838, arxiv.org/abs/1611.07810"
,,aes system,2020-07-14,2024,12,,persisted,2024,18,"arxiv.org/abs/2404.08655, arxiv.org/abs/2402.16733"
,,math task,2021-10-07,2024,28,,persisted,2025,34,"arxiv.org/abs/2402.03822, arxiv.org/abs/2402.11455"
,,mtl,2011-02-14,2017,23,,persisted,2024,295,"arxiv.org/abs/1712.03538, arxiv.org/abs/1712.08862"
,,plain text,2011-11-14,2016,12,,persisted,2024,201,"arxiv.org/abs/1610.07809, arxiv.org/abs/1611.04125"
,,image query,2012-08-30,2019,10,,persisted,2023,62,"arxiv.org/abs/1901.09854, arxiv.org/abs/1906.09513"
,,numerical weather prediction,2020-06-16,2024,15,,persisted,2022,34,"arxiv.org/abs/2401.15726, arxiv.org/abs/2402.05823"
,,memory replay,2018-09-06,2020,12,,persisted,2024,44,"arxiv.org/abs/2009.00093, arxiv.org/abs/2010.02418"
,,deepmind control,2019-06-19,2021,15,2024,crystallized_then_declined,2022,34,"arxiv.org/abs/2107.00644, arxiv.org/abs/2111.04345"
,,forgery detection,2012-08-17,2017,13,,persisted,2025,262,"arxiv.org/abs/1701.08374, arxiv.org/abs/1703.04615"
,,neural signal,2016-11-15,2024,19,,persisted,2025,40,"arxiv.org/abs/2406.11568, arxiv.org/abs/2408.06788"
,,local explanation,2018-10-08,2020,12,,persisted,2025,50,"arxiv.org/abs/2004.12277, arxiv.org/abs/2012.15783"
,,implicit preference,2017-04-20,2024,20,,persisted,2025,23,"arxiv.org/abs/2402.08114, arxiv.org/abs/2410.02320"
,,monolithic model,2017-11-27,2024,16,,persisted,2025,24,"arxiv.org/abs/2402.16918, arxiv.org/abs/2406.09988"
,,model compression,2015-06-19,2016,20,,persisted,2024,748,"arxiv.org/abs/1611.01773, arxiv.org/abs/1612.00891"
